word_name,class_name
cat,A
door,B
spring,B
light,A
pets,B
online,B
flags,A
mineral,A
realistic,A
fighter,A
minneapolis,A
egyptian,B
mining,B
parker,B
addresses,A
rabbit,B
caps,B
luggage,A
mid,A
accompanied,A
sculpture,A
walking,A
reproduce,A
bucks,A
fwd,A
runtime,A
mongolia,B
scores,B
introduces,B
tone,B
officials,A
actress,A
attitudes,A
ken,A
reid,B
events,B
accent,B
helena,B
codes,A
play,B
hard,B
reservation,A
yard,B
pantyhose,A
positions,A
netherlands,A
computing,A
gifts,A
care,B
syndrome,B
uri,A
holidays,B
blocked,A
stranger,B
reed,B
plan,B
obtaining,A
intermediate,B
surprise,B
husband,A
coated,B
opposite,B
red,A
guatemala,A
graphics,B
uses,B
occasion,B
adjacent,B
factory,A
logitech,B
relationship,B
automotive,B
matched,A
shortly,A
policy,B
pit,A
frank,A
pursuant,B
early,A
episode,A
ob,B
bidding,A
analysts,B
confirmation,B
moms,B
candy,A
communications,B
colin,A
prot,B
phase,A
hints,A
attitude,B
seeker,B
jun,A
privilege,A
chart,A
whale,A
arrow,A
somewhere,A
batman,B
warriors,B
automatically,A
compete,A
wishes,B
faced,A
galaxy,B
bone,B
manchester,B
watershed,A
ciao,B
hs,B
citation,B
larger,B
dos,A
mark,B
investing,A
difficulty,B
orchestra,A
cg,B
minority,B
fruits,B
conservative,B
iso,A
ta,B
las,A
caring,B
abstracts,A
columbia,B
race,B
char,B
chancellor,B
theater,A
wish,B
politicians,A
direction,A
breaks,B
hour,B
council,A
nova,B
meet,B
signs,A
matthew,A
sleeps,B
norwegian,A
pgp,A
buddy,A
zshops,B
implemented,A
jennifer,B
tall,B
ascii,A
via,A
myers,A
artistic,B
combine,A
treaty,B
core,B
tumor,A
staying,A
male,B
expression,B
wider,A
vbulletin,A
azerbaijan,B
cheers,B
leaders,A
oldest,B
street,B
planned,A
colony,B
josh,B
reporters,A
contests,B
ebooks,B
investigated,B
dress,A
matrix,B
fare,B
phenomenon,B
executed,B
lane,B
allow,A
applying,B
debian,B
seasonal,B
warm,B
faculty,A
suitable,B
calculators,A
stomach,A
hamilton,B
outsourcing,A
independent,A
commissioners,A
macedonia,A
mile,B
fleece,B
desert,B
intimate,B
prozac,B
expenses,B
injuries,B
serving,A
terrain,A
barry,A
day,A
ham,A
institutional,A
dan,A
removed,A
disks,A
cole,B
dx,B
chile,A
drinking,B
dependence,B
violent,A
thee,B
eve,A
layers,B
observation,A
through,A
highlight,A
receiving,A
entertaining,B
sounds,B
dual,B
reynolds,B
seniors,A
bundle,B
power,A
awarded,A
query,A
organize,B
recipe,B
component,A
cent,B
investigation,A
boundaries,B
ddr,A
gains,A
nearest,A
along,A
finding,A
insulation,B
fireplace,A
typing,B
lighter,A
minus,A
draft,A
commands,B
bids,B
enrolled,B
calm,B
amp,A
broader,A
tigers,B
contest,A
ur,B
unlock,B
animal,B
section,A
keyword,A
contents,B
striking,B
publications,B
performer,A
singles,A
friendly,B
archived,B
proposition,A
tattoo,B
basis,A
a,A
tft,A
across,B
rich,B
adoption,B
monaco,B
scholarship,A
assured,A
sie,A
congress,B
gi,B
peaceful,B
watched,A
fitted,B
dee,A
declare,A
ending,B
expect,B
pal,A
younger,A
hose,B
signatures,B
got,A
combo,A
cohen,A
nested,B
anime,A
tu,B
barriers,B
